institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Bhilai,Data Science and Artificial Intelligence,SC,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1202.0,1275.0,1275.0,0.0,2021
IIT,IIT-Kharagpur,Manufacturing Science and Engineering,SC,AI,Gender-Neutral,2,4 Years,B.Tech,2021,1492.0,1616.0,1616.0,0.0,2021
IIT,IIT-Kanpur,Mechanical Engineering,SC,AI,Female-Only,2,4 Years,B.Tech,2021,2008.0,2285.0,2285.0,0.0,2021
IIT,IIT-Hyderabad,Engineering Science,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,1404.0,2733.0,2733.0,0.0,2019
NIT,NIT-Jalandhar,Electronics and Communication Engineering,GEN,OS,Female-Only,7,4 Years,B.Tech,2019,18750.0,21245.0,21245.0,0.0,2019
NIT,NIT-Delhi,Electrical and Electronics Engineering,GEN,HS,Female-Only,7,4 Years,B.Tech,2019,30263.0,32125.0,32125.0,0.0,2019
NIT,NIT-Meghalaya,Mechanical Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,25893.0,32063.0,32063.0,0.0,2019
NIT,NIT-Kurukshetra,Computer Engineering,GEN,HS,Gender-Neutral,7,4 Years,B.Tech,2019,3470.0,7265.0,7265.0,0.0,2019
NIT,NIT-Tiruchirappalli,Electrical and Electronics Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,3571.0,5243.0,5243.0,0.0,2019
NIT,NIT-Uttarakhand,Mechanical Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,24348.0,26849.0,26849.0,0.0,2019
IIT,IIT-(BHU) Varanasi,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,867.0,976.0,976.0,0.0,2021
IIT,IIT-(BHU) Varanasi,Mining Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1550.0,1805.0,1805.0,0.0,2021
IIT,IIT-(ISM) Dhanbad,Mining Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1612.0,1817.0,1817.0,0.0,2021
IIT,IIT-Roorkee,Civil Engineering,GEN-EWS,AI,Female-Only,2,4 Years,B.Tech,2021,2309.0,2585.0,2585.0,0.0,2021
IIT,IIT-Jodhpur,Materials Engineering,OBC-NCL,AI,Gender-Neutral,1,4 Years,B.Tech,2021,4489.0,4917.0,4917.0,0.0,2021
IIT,IIT-Jammu,Computer Science and Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,3465.0,5034.0,5034.0,0.0,2021
