institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
NIT,NIT-Agartala,Civil Engineering,GEN-EWS,OS,Gender-Neutral,6,4 Years,B.Tech,2020,7522.0,7572.0,7572.0,0.0,2020
NIT,NIT-Karnataka-Surathkal,Civil Engineering,GEN,HS,Gender-Neutral,6,4 Years,B.Tech,2020,12270.0,29325.0,29325.0,0.0,2020
IIT,IIT-Kharagpur,Mining Engineering,GEN,AI,Female-Only,7,5 Years,B.Tech + M.Tech (IDD),2018,13290.0,13439.0,13439.0,0.0,2018
IIT,IIT-Madras,Physics,GEN,AI,Female-Only,7,5 Years,B.Tech + M.Tech (IDD),2018,5287.0,5287.0,5287.0,0.0,2018
IIT,IIT-Palakkad,Mechanical Engineering,GEN,AI,Female-Only,7,4 Years,B.Tech,2018,7035.0,10903.0,10903.0,0.0,2018
IIT,IIT-(ISM) Dhanbad,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,7,4 Years,B.Tech,2019,728.0,736.0,736.0,0.0,2019
NIT,NIT-Karnataka-Surathkal,Electrical and Electronics Engineering,GEN-EWS,OS,Gender-Neutral,7,4 Years,B.Tech,2019,760.0,768.0,768.0,0.0,2019
NIT,NIT-Srinagar,Mechanical Engineering,GEN-EWS,OS,Gender-Neutral,7,4 Years,B.Tech,2019,4971.0,4971.0,4971.0,0.0,2019
IIT,IIT-Bhubaneswar,Computer Science and Engineering,OBC-NCL,AI,Female-Only,6,4 Years,B.Tech,2020,1469.0,2255.0,2255.0,0.0,2020
IIT,IIT-Kharagpur,Biotechnology and Biochemical Engineering,OBC-NCL,AI,Female-Only,6,5 Years,B.Tech + M.Tech (IDD),2020,7129.0,7129.0,7129.0,0.0,2020
IIT,IIT-Patna,Mechanical Engineering,OBC-NCL,AI,Female-Only,6,4 Years,B.Tech,2020,7281.0,7820.0,7820.0,0.0,2020
IIT,IIT-(ISM) Dhanbad,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,6,4 Years,B.Tech,2020,547.0,998.0,998.0,0.0,2020
IIT,IIT-Kharagpur,Aerospace Engineering,SC,AI,Gender-Neutral,6,5 Years,B.Tech + M.Tech (IDD),2020,1067.0,1386.0,1386.0,0.0,2020
IIT,IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,SC,AI,Gender-Neutral,6,5 Years,B.Tech + M.Tech (IDD),2020,570.0,734.0,734.0,0.0,2020
IIT,IIT-Kharagpur,Manufacturing Science and Engineering,SC,AI,Female-Only,6,4 Years,B.Tech,2020,2693.0,2693.0,2693.0,0.0,2020
IIT,IIT-Kanpur,Electrical Engineering,SC,AI,Female-Only,6,4 Years,B.Tech,2020,542.0,962.0,962.0,0.0,2020
NIT,NIT-Allahabad,Computer Science and Engineering,SC,OS,Female-Only,6,4 Years,B.Tech,2020,1318.0,1891.0,1891.0,0.0,2020
