College Code,College Name,Seat Category,Branch Code,Branch Name,Cutoff Rank
E040,"Dayananda Sagar College of Engineering-Kumaraswamy
Layout, Bengaluru",KKR,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),20086
E040,"Dayananda Sagar College of Engineering-Kumaraswamy
Layout, Bengaluru",KKR,IS,Information Science & Engineering,17381
E040,"Dayananda Sagar College of Engineering-Kumaraswamy
Layout, Bengaluru",KKR,ME,Mechanical Engineering,74799
E040,"Dayananda Sagar College of Engineering-Kumaraswamy
Layout, Bengaluru",KKR,RI,Robotics & Artificial Intelligence,23669
E041,"DON BOSCO Institute of Technology-Kumbalgodu,
Bengaluru",GM,AD,Artificial Intelligence & Data Science,61531
E041,"DON BOSCO Institute of Technology-Kumbalgodu,
Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),94009
E041,"DON BOSCO Institute of Technology-Kumbalgodu,
Bengaluru",GM,CS,Computer Science & Engineering,98982
E041,"DON BOSCO Institute of Technology-Kumbalgodu,
Bengaluru",GM,EE,Electrical & Electronics Engineering,68146
E041,"DON BOSCO Institute of Technology-Kumbalgodu,
Bengaluru",GM,IS,Information Science & Engineering,64523
E041,"DON BOSCO Institute of Technology-Kumbalgodu,
Bengaluru",KKR,CS,Computer Science & Engineering,62015
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,66397
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",GM,CB,Computer Science & Business Systems,92155
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",GM,CS,Computer Science & Engineering,57489
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",GM,EC,Electronics & Communication Engineering,56222
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",GM,IS,Information Science & Engineering,96203
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",KKR,AI,Artificial Intelligence & Machine Learning,51238
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",KKR,CB,Computer Science & Business Systems,75830
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",KKR,CS,Computer Science & Engineering,49404
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",KKR,EC,Electronics & Communication Engineering,64294
E042,"Dr. Ambedkar Institute of Technology-Malathahalli,
Bengaluru",KKR,IS,Information Science & Engineering,65476
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of Technology-Moodbidri, Mangaluru",GM,CS,Computer Science & Engineering,80612
E045,"Dr H N National College Of Engineering-Jayanagar,
Bengaluru",GM,AD,Artificial Intelligence & Data Science,98989
E045,"Dr H N National College Of Engineering-Jayanagar,
Bengaluru",GM,CS,Computer Science & Engineering,76881
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",GM,AD,Artificial Intelligence & Data Science,98557
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),47791
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",GM,CS,Computer Science & Engineering,100510
