institute_short,program_name,category,quota,pool,round_no,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT-Bombay,Civil Engineering,ST,AI,Female-Only,7,293.0,87.68124086713189,2019
IIT-Roorkee,Computer Science and Engineering,ST,AI,Female-Only,7,282.5,27.577164466275352,2019
IIT-Jammu,Chemical Engineering,ST,AI,Gender-Neutral,7,585.0,574.1707063234766,2019
NIT-Patna,Architecture,ST,OS,Gender-Neutral,7,290.0,0.0,2019
NIT-Sikkim,Electronics and Communication Engineering,ST,OS,Gender-Neutral,7,2262.0,0.0,2019
NIT-Bhopal,Civil Engineering,SC,HS,Gender-Neutral,1,6285.0,0.0,2021
NIT-Patna,Mechanical Engineering,SC,OS,Female-Only,1,7751.0,0.0,2021
NIT-Kurukshetra,Computer Engineering,SC,HS,Gender-Neutral,1,1886.0,0.0,2021
NIT-Rourkela,Computer Science and Engineering,SC,OS,Gender-Neutral,1,535.0,0.0,2021
NIT-Silchar,Electronics and Communication Engineering,SC,HS,Gender-Neutral,1,5277.0,0.0,2021
IIT-Delhi,Textile Technology,OBC-NCL,AI,Female-Only,7,6498.0,62.22539674441618,2019
IIT-Kharagpur,Metallurgical and Materials Engineering,OBC-NCL,AI,Female-Only,7,5211.25,374.691317397846,2019
IIT-Roorkee,Civil Engineering,OBC-NCL,AI,Gender-Neutral,7,1745.3333333333333,283.90550070988996,2019
IIT-Indore,Civil Engineering,OBC-NCL,AI,Gender-Neutral,7,2655.3333333333335,319.7770056356982,2019
IIT-(ISM) Dhanbad,Computer Science and Engineering,OBC-NCL,AI,Female-Only,7,2365.3333333333335,292.68128285446153,2019
IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,OBC-NCL,AI,Gender-Neutral,7,2828.3333333333335,339.9298947332131,2019
IIT-Goa,Computer Science and Engineering,OBC-NCL,AI,Female-Only,7,3269.5,273.6503243191939,2019
NIT-Jaipur,Metallurgical and Materials Engineering,OBC-NCL,OS,Female-Only,7,15912.0,0.0,2019
NIT-Calicut,Bio Technology,OBC-NCL,OS,Female-Only,7,12486.0,0.0,2019
NIT-Jalandhar,Electronics and Communication Engineering,SC,HS,Female-Only,7,4917.0,0.0,2019
NIT-Arunachal-Pradesh,Computer Science and Engineering,SC,OS,Female-Only,7,5398.0,0.0,2019
NIT-Jaipur,Mechanical Engineering,GEN-EWS,HS,Female-Only,1,4939.0,0.0,2021
NIT-Meghalaya,Mechanical Engineering,GEN-EWS,HS,Female-Only,1,49357.0,0.0,2021
