institute_short,program_name,category,quota,pool,round_no,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT-Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing,OBC-NCL,AI,Gender-Neutral,2,909.0,0.0,2021
IIT-Kharagpur,Agricultural and Food Engineering,OBC-NCL,AI,Female-Only,2,7986.0,0.0,2021
IIT-Kharagpur,Computer Science and Engineering,GEN,AI,Female-Only,1,1198.0,317.5176444631929,2021
IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,GEN,AI,Female-Only,1,17604.0,0.0,2021
IIT-Roorkee,Civil Engineering,GEN,AI,Female-Only,2,12840.0,0.0,2021
NIT-Jalandhar,Information Technology,OBC-NCL,OS,Gender-Neutral,1,3403.0,0.0,2021
NIT-Agartala,Chemical Engineering,OBC-NCL,OS,Gender-Neutral,1,12066.0,0.0,2021
NIT-Hamirpur,Computer Science and Engineering,OBC-NCL,HS,Gender-Neutral,1,21262.5,1351.0166878721711,2021
NIT-Hamirpur,Mechanical Engineering,OBC-NCL,HS,Female-Only,1,102926.0,0.0,2021
NIT-Puducherry,Computer Science and Engineering,OBC-NCL,HS,Gender-Neutral,1,16083.0,0.0,2021
NIT-Jamshedpur,Electrical Engineering,OBC-NCL,HS,Gender-Neutral,1,6386.0,0.0,2021
NIT-Rourkela,Computer Science and Engineering,OBC-NCL,HS,Gender-Neutral,1,4244.0,0.0,2021
NIT-Bhopal,Materials Science and Metallurgical Engineering,GEN,HS,Female-Only,1,44568.0,0.0,2021
NIT-Calicut,Bio Technology,GEN,OS,Gender-Neutral,1,25985.0,0.0,2021
NIT-Durgapur,Civil Engineering,GEN,HS,Female-Only,1,32323.0,0.0,2021
NIT-Hamirpur,Civil Engineering,GEN,OS,Female-Only,1,40762.0,0.0,2021
NIT-Karnataka-Surathkal,Metallurgical and Materials Engineering,GEN,HS,Gender-Neutral,1,22626.0,0.0,2021
NIT-Patna,Civil Engineering,GEN,HS,Female-Only,1,47356.0,0.0,2021
NIT-Rourkela,Bio Technology,GEN,HS,Gender-Neutral,1,39362.0,0.0,2021
NIT-Rourkela,Electronics and Instrumentation Engineering,GEN,HS,Female-Only,1,21910.0,0.0,2021
NIT-Rourkela,Mechanical Engineering,GEN,HS,Female-Only,1,34291.0,0.0,2021
IIT-Kanpur,Mechanical Engineering,SC,AI,Female-Only,1,2285.0,0.0,2021
IIT-Jodhpur,Artificial Intelligence and Data Science,SC,AI,Female-Only,1,2048.0,0.0,2021
IIT-Kanpur,Biological Sciences and Bioengineering,SC,AI,Gender-Neutral,2,2029.0,0.0,2021
IIT-Kharagpur,Exploration Geophysics,GEN,AI,Female-Only,7,16005.5,3705.9466401986956,2019
NIT-Hamirpur,Civil Engineering,GEN,HS,Female-Only,7,101436.0,0.0,2019
NIT-Kurukshetra,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,7,11467.0,0.0,2019
NIT-Rourkela,Bio Medical Engineering,GEN,HS,Female-Only,7,53410.0,0.0,2019
IIT-Patna,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,1,1316.0,0.0,2021
IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,OBC-NCL,AI,Female-Only,1,5976.0,0.0,2021
IIT-Hyderabad,Artificial Intelligence,OBC-NCL,AI,Female-Only,1,631.0,0.0,2021
IIT-Goa,Computer Science and Engineering,OBC-NCL,AI,Female-Only,1,3273.0,0.0,2021
IIT-Delhi,Energy Engineering,OBC-NCL,AI,Female-Only,2,6651.0,0.0,2021
IIT-Roorkee,Electrical Engineering,GEN,AI,Gender-Neutral,1,1945.0,0.0,2021
IIT-Roorkee,Production and Industrial Engineering,GEN,AI,Female-Only,2,12891.0,0.0,2021
NIT-Jaipur,Metallurgical and Materials Engineering,OBC-NCL,OS,Female-Only,1,17500.0,0.0,2021
NIT-Calicut,Electrical and Electronics Engineering,OBC-NCL,HS,Gender-Neutral,1,6805.0,0.0,2021
NIT-Goa,Computer Science and Engineering,OBC-NCL,GO,Gender-Neutral,1,20310.0,0.0,2021
NIT-Hamirpur,Engineering Physics,OBC-NCL,OS,Female-Only,1,16789.0,0.0,2021
NIT-Patna,Computer Science and Engineering,OBC-NCL,OS,Gender-Neutral,1,4274.0,0.0,2021
NIT-Raipur,Architecture,OBC-NCL,HS,Gender-Neutral,1,1265.0,0.0,2021
NIT-Raipur,Mining Engineering,OBC-NCL,HS,Female-Only,1,37531.0,0.0,2021
NIT-Jamshedpur,Metallurgical and Materials Engineering,OBC-NCL,OS,Female-Only,1,17151.0,0.0,2021
NIT-Rourkela,Food Process Engineering,OBC-NCL,OS,Female-Only,1,14522.0,0.0,2021
NIT-Jalandhar,Mechanical Engineering,GEN,OS,Female-Only,1,35911.0,0.0,2021
NIT-Allahabad,Civil Engineering,GEN,OS,Female-Only,1,32744.0,0.0,2021
NIT-Raipur,Computer Science and Engineering,GEN,HS,Female-Only,1,24683.0,0.0,2021
NIT-Raipur,Mechanical Engineering,GEN,HS,Gender-Neutral,1,46159.0,0.0,2021
NIT-Sikkim,Electrical and Electronics Engineering,GEN,HS,Gender-Neutral,1,374887.0,0.0,2021
NIT-Kurukshetra,Production and Industrial Engineering,GEN,OS,Gender-Neutral,1,32287.0,0.0,2021
NIT-Kurukshetra,Production and Industrial Engineering,GEN,OS,Female-Only,1,39906.0,0.0,2021
IIT-Bombay,Economics,SC,AI,Gender-Neutral,1,894.0,0.0,2021
IIT-Bombay,Metallurgical Engineering and Materials Science,SC,AI,Female-Only,1,1749.0,0.0,2021
IIT-Kharagpur,Ocean Engineering and Naval Architecture,SC,AI,Gender-Neutral,1,2131.5,112.2800880914251,2021
IIT-Tirupati,Chemical Engineering,SC,AI,Female-Only,1,2793.0,0.0,2021
IIT-Madras,Chemical Engineering,SC,AI,Gender-Neutral,2,1246.0,0.0,2021
IIT-Hyderabad,Materials Science and Metallurgical Engineering,GEN,AI,Gender-Neutral,7,6788.333333333333,261.72950413228796,2019
IIT-(ISM) Dhanbad,Mining Machinery Engineering,GEN,AI,Gender-Neutral,7,10555.333333333334,778.2842240038875,2019
IIT-Patna,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,2882.0,364.7478581157126,2019
IIT-Ropar,Chemical Engineering,GEN,AI,Female-Only,7,13269.0,2968.4342674211266,2019
IIT-Ropar,Mathematics and Computing,GEN,AI,Female-Only,7,5262.0,0.0,2019
NIT-Jaipur,Chemical Engineering,GEN,HS,Female-Only,7,26061.0,0.0,2019
NIT-Bhopal,Electronics and Communication Engineering,GEN,HS,Gender-Neutral,7,13274.0,0.0,2019
NIT-Delhi,Electrical and Electronics Engineering,GEN,HS,Gender-Neutral,7,24438.0,0.0,2019
NIT-Raipur,Metallurgical and Materials Engineering,GEN,OS,Female-Only,7,47381.0,0.0,2019
NIT-Mizoram,Civil Engineering,GEN,HS,Gender-Neutral,7,878832.0,0.0,2019
NIT-Rourkela,Chemical Engineering,GEN,OS,Female-Only,7,19008.0,0.0,2019
NIT-Durgapur,Electronics and Communication Engineering,GEN,HS,Female-Only,7,26396.0,0.0,2019
IIT-Patna,Artificial Intelligence and Data Science,GEN-EWS,AI,Female-Only,1,1342.0,0.0,2021
IIT-(ISM) Dhanbad,Applied Geology,GEN-EWS,AI,Gender-Neutral,1,1956.0,0.0,2021
IIT-Kharagpur,Mathematics and Computing,OBC-NCL,AI,Female-Only,1,1696.0,0.0,2021
IIT-Kanpur,Electrical Engineering,OBC-NCL,AI,Female-Only,1,2374.0,0.0,2021
IIT-Bombay,Metallurgical Engineering and Materials Science,OBC-NCL,AI,Female-Only,2,5172.0,0.0,2021
IIT-Delhi,Engineering and Computational Mechanics,OBC-NCL,AI,Female-Only,2,3374.0,0.0,2021
IIT-Delhi,Electrical Engineering,GEN,AI,Gender-Neutral,1,543.0,0.0,2021
IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,GEN,AI,Female-Only,1,4476.0,0.0,2021
IIT-Guwahati,Computer Science and Engineering,GEN,AI,Female-Only,1,1648.0,0.0,2021
NIT-Bhopal,Electrical Engineering,OBC-NCL,HS,Female-Only,1,13056.0,0.0,2021
NIT-Agartala,Engineering Physics,OBC-NCL,OS,Gender-Neutral,1,12336.0,0.0,2021
NIT-Durgapur,Metallurgical and Materials Engineering,OBC-NCL,OS,Gender-Neutral,1,11463.0,0.0,2021
NIT-Goa,Electronics and Communication Engineering,OBC-NCL,HS,Gender-Neutral,1,33648.0,0.0,2021
NIT-Puducherry,Electrical and Electronics Engineering,OBC-NCL,HS,Gender-Neutral,1,42446.0,0.0,2021
NIT-Jalandhar,Textile Technology,GEN,HS,Female-Only,1,59975.0,0.0,2021
NIT-Hamirpur,Chemical Engineering,GEN,OS,Female-Only,1,39177.0,0.0,2021
NIT-Nagaland,Electronics and Communication Engineering,GEN,OS,Female-Only,1,38184.0,0.0,2021
NIT-Mizoram,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,1,32941.0,0.0,2021
NIT-Rourkela,Ceramic Engineering,GEN,HS,Female-Only,1,45054.0,0.0,2021
IIT-Delhi,Chemical Engineering,SC,AI,Female-Only,2,1941.5,745.2264451463425,2021
IIT-Roorkee,Economics,SC,AI,Female-Only,2,3235.0,0.0,2021
IIT-Kanpur,Economics,GEN,AI,Female-Only,7,5610.5,157.6848122046001,2019
IIT-(ISM) Dhanbad,Electrical Engineering,GEN,AI,Female-Only,7,9869.5,1948.0791821689384,2019
IIT-Jammu,Computer Science and Engineering,GEN,AI,Female-Only,7,9599.0,2351.837154226457,2019
NIT-Bhopal,Computer Science and Engineering,GEN,HS,Female-Only,7,12387.0,0.0,2019
NIT-Hamirpur,Computer Science and Engineering,GEN,HS,Gender-Neutral,7,35674.0,14251.030068033679,2019
NIT-Meghalaya,Civil Engineering,GEN,HS,Female-Only,7,224676.0,0.0,2019
NIT-Puducherry,Civil Engineering,GEN,OS,Gender-Neutral,7,31813.0,0.0,2019
NIT-Kurukshetra,Computer Engineering,GEN,OS,Female-Only,7,9406.0,0.0,2019
IIT-Kharagpur,Industrial and Systems Engineering,OBC-NCL,AI,Gender-Neutral,1,2092.0,0.0,2021
IIT-Roorkee,Physics,OBC-NCL,AI,Gender-Neutral,1,3829.0,0.0,2021
IIT-Delhi,Electrical Engineering,OBC-NCL,AI,Gender-Neutral,2,360.0,0.0,2021
IIT-Kharagpur,Manufacturing Science and Engineering,OBC-NCL,AI,Female-Only,2,7240.0,0.0,2021
IIT-Kanpur,Mathematics and Scientific Computing,OBC-NCL,AI,Female-Only,2,2163.0,0.0,2021
IIT-Roorkee,Architecture,OBC-NCL,AI,Gender-Neutral,2,6033.0,0.0,2021
IIT-Delhi,Biotechnology and Biochemical Engineering,GEN,AI,Female-Only,1,9472.0,0.0,2021
IIT-Kharagpur,Economics,GEN,AI,Female-Only,2,10742.0,0.0,2021
NIT-Jalandhar,Electrical Engineering,OBC-NCL,OS,Female-Only,1,10727.0,0.0,2021
NIT-Jalandhar,Electronics and Communication Engineering,OBC-NCL,HS,Female-Only,1,25285.0,0.0,2021
NIT-Jaipur,Architecture,OBC-NCL,HS,Gender-Neutral,1,1341.0,0.0,2021
NIT-Bhopal,Architecture,OBC-NCL,HS,Gender-Neutral,1,2114.0,0.0,2021
NIT-Bhopal,Architecture,OBC-NCL,OS,Female-Only,1,364.0,0.0,2021
NIT-Delhi,Electrical and Electronics Engineering,OBC-NCL,HS,Female-Only,1,14010.0,0.0,2021
NIT-Rourkela,Civil Engineering,OBC-NCL,HS,Gender-Neutral,1,11532.0,0.0,2021
NIT-Goa,Computer Science and Engineering,GEN,GO,Gender-Neutral,1,22693.0,0.0,2021
NIT-Kurukshetra,Civil Engineering,GEN,HS,Gender-Neutral,1,35762.0,0.0,2021
NIT-Srinagar,Civil Engineering,GEN,OS,Gender-Neutral,1,43558.0,0.0,2021
IIT-(BHU) Varanasi,Mechanical Engineering,SC,AI,Gender-Neutral,1,1491.0,95.04640015181101,2021
IIT-Kharagpur,Chemical Engineering,GEN,AI,Female-Only,7,6963.75,986.7594691716923,2019
IIT-Kharagpur,Ocean Engineering and Naval Architecture,GEN,AI,Gender-Neutral,7,6896.333333333333,964.8632372863352,2019
IIT-Hyderabad,Chemical Engineering,GEN,AI,Gender-Neutral,7,5834.666666666667,151.26907593204015,2019
IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,GEN,AI,Female-Only,7,14458.5,3862.9243456221093,2019
IIT-Dharwad,Mechanical Engineering,GEN,AI,Gender-Neutral,7,9198.0,1016.1235161140598,2019
IIT-Jammu,Mechanical Engineering,GEN,AI,Female-Only,7,14600.5,3645.1354570166527,2019
NIT-Agartala,Biotechnology and Biochemical Engineering,GEN,OS,Female-Only,7,48977.0,0.0,2019
NIT-Rourkela,Metallurgical and Materials Engineering,GEN,OS,Gender-Neutral,7,27660.5,4734.079900043936,2019
IIT-Bombay,Computer Science and Engineering,GEN-EWS,AI,Female-Only,2,62.0,0.0,2021
IIT-Tirupati,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,1,1290.0,0.0,2021
IIT-(BHU) Varanasi,Mining Engineering,OBC-NCL,AI,Female-Only,1,8946.0,81.46834298726662,2021
IIT-Kharagpur,Agricultural and Food Engineering with M.Tech. in any of the listed specializations,OBC-NCL,AI,Female-Only,2,8386.0,0.0,2021
IIT-Patna,Computer Science and Engineering,GEN,AI,Gender-Neutral,1,2633.0,0.0,2021
IIT-Palakkad,Computer Science and Engineering,GEN,AI,Female-Only,1,8879.0,0.0,2021
IIT-(ISM) Dhanbad,Engineering Physics,GEN,AI,Female-Only,1,16056.0,0.0,2021
IIT-Madras,Biological Engineering,GEN,AI,Female-Only,2,10710.0,0.0,2021
NIT-Bhopal,Planning,GEN,OS,Gender-Neutral,1,384.0,0.0,2021
NIT-Hamirpur,Materials Science and Engineering,GEN,HS,Gender-Neutral,1,78848.0,0.0,2021
NIT-Jamshedpur,Mechanical Engineering,GEN,OS,Female-Only,1,33823.0,0.0,2021
NIT-Manipur,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,1,30218.0,0.0,2021
NIT-Mizoram,Mechanical Engineering,GEN,HS,Gender-Neutral,1,758442.0,0.0,2021
NIT-Rourkela,Electronics and Communication Engineering,GEN,OS,Female-Only,1,7866.0,0.0,2021
NIT-Silchar,Mechanical Engineering,GEN,OS,Gender-Neutral,1,27768.0,0.0,2021
IIT-Kharagpur,Civil Engineering with any of the listed specialization,SC,AI,Gender-Neutral,1,1488.0,0.0,2021
IIT-Roorkee,Geological Technology,SC,AI,Female-Only,1,3277.0,0.0,2021
IIT-(BHU) Varanasi,Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology,SC,AI,Gender-Neutral,1,2752.0,0.0,2021
IIT-(ISM) Dhanbad,Applied Geophysics,SC,AI,Gender-Neutral,1,2865.0,0.0,2021
IIT-Bombay,Metallurgical Engineering and Materials Science,SC,AI,Female-Only,2,1749.0,0.0,2021
IIT-Kharagpur,Ocean Engineering and Naval Architecture,GEN,AI,Female-Only,7,12459.0,492.05487498855246,2019
IIT-Kanpur,Chemistry,GEN,AI,Female-Only,7,12380.5,1779.78776824654,2019
IIT-Madras,Engineering Physics,GEN,AI,Gender-Neutral,7,2159.3333333333335,413.04035315370015,2019
IIT-Guwahati,Chemical Science and Technology,GEN,AI,Female-Only,7,10692.0,2324.9670965413684,2019
IIT-(BHU) Varanasi,Materials Science and Technology,GEN,AI,Gender-Neutral,7,9431.0,590.3278749982928,2019
IIT-Mandi,Bio Engineering,GEN,AI,Gender-Neutral,7,12267.0,0.0,2019
NIT-Jalandhar,Computer Science and Engineering,GEN,OS,Gender-Neutral,7,9667.0,0.0,2019
NIT-Allahabad,Chemical Engineering,GEN,HS,Gender-Neutral,7,14810.0,0.0,2019
NIT-Allahabad,Computer Science and Engineering,GEN,OS,Gender-Neutral,7,3562.0,0.0,2019
NIT-Patna,Electrical Engineering,GEN,OS,Gender-Neutral,7,25666.0,0.0,2019
NIT-Warangal,Chemical Engineering,GEN,AP,Gender-Neutral,7,17063.0,0.0,2019
IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,GEN-EWS,AI,Female-Only,2,1035.0,0.0,2021
IIT-Guwahati,Electronics and Electrical Engineering,OBC-NCL,AI,Gender-Neutral,1,960.0,0.0,2021
IIT-Tirupati,Civil Engineering,OBC-NCL,AI,Gender-Neutral,1,4466.0,0.0,2021
IIT-Guwahati,Engineering Physics,GEN,AI,Gender-Neutral,1,5202.0,0.0,2021
IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,GEN,AI,Gender-Neutral,1,11828.0,0.0,2021
IIT-Tirupati,Chemical Engineering,GEN,AI,Female-Only,1,18952.0,0.0,2021
NIT-Calicut,Production Engineering,OBC-NCL,HS,Female-Only,1,13457.0,0.0,2021
NIT-Hamirpur,Electronics and Communication Engineering,OBC-NCL,HS,Female-Only,1,26872.0,1558.3431761154065,2021
NIT-Karnataka-Surathkal,Electrical and Electronics Engineering,OBC-NCL,OS,Gender-Neutral,1,2686.0,0.0,2021
NIT-Kurukshetra,Electrical Engineering,OBC-NCL,HS,Gender-Neutral,1,7996.0,0.0,2021
NIT-Kurukshetra,Information Technology,OBC-NCL,OS,Gender-Neutral,1,2478.0,0.0,2021
NIT-Rourkela,Ceramic Engineering and M.Tech Industrial Ceramic,OBC-NCL,HS,Gender-Neutral,1,18931.0,0.0,2021
NIT-Jaipur,Architecture,GEN,OS,Gender-Neutral,1,607.0,0.0,2021
NIT-Bhopal,Architecture,GEN,OS,Female-Only,1,575.0,0.0,2021
NIT-Agartala,Civil Engineering,GEN,HS,Gender-Neutral,1,140672.0,0.0,2021
NIT-Calicut,Production Engineering,GEN,OS,Female-Only,1,34383.0,0.0,2021
NIT-Hamirpur,Computer Science and Engineering,GEN,HS,Gender-Neutral,1,20938.0,1054.9105950915289,2021
NIT-Hamirpur,Electrical Engineering,GEN,OS,Gender-Neutral,1,19947.0,0.0,2021
NIT-Hamirpur,Electronics and Communication Engineering,GEN,HS,Female-Only,1,63779.5,5062.004157535738,2021
NIT-Raipur,Information Technology,GEN,OS,Female-Only,1,16819.0,0.0,2021
NIT-Silchar,Computer Science and Engineering,GEN,HS,Female-Only,1,21819.0,0.0,2021
IIT-Kharagpur,Biotechnology and Biochemical Engineering,SC,AI,Gender-Neutral,2,2009.0,194.27066404655884,2021
IIT-Indore,Civil Engineering,GEN,AI,Gender-Neutral,7,7478.666666666667,427.13502939156524,2019
NIT-Patna,Civil Engineering,GEN,HS,Female-Only,7,40497.0,0.0,2019
NIT-Jamshedpur,Civil Engineering,GEN,HS,Female-Only,7,45935.0,0.0,2019
IIT-Bombay,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,1,19.0,0.0,2021
IIT-Gandhinagar,Mechanical Engineering,GEN-EWS,AI,Female-Only,1,3155.0,0.0,2021
IIT-Jodhpur,Materials Engineering,GEN-EWS,AI,Female-Only,1,3890.0,0.0,2021
IIT-(BHU) Varanasi,Electrical Engineering,GEN-EWS,AI,Female-Only,1,1570.0,0.0,2021
IIT-Kanpur,Economics,GEN-EWS,AI,Female-Only,2,1174.0,0.0,2021
IIT-Kharagpur,Chemical Engineering,OBC-NCL,AI,Female-Only,1,5857.0,829.3059529729446,2021
IIT-Roorkee,Chemical Sciences,OBC-NCL,AI,Female-Only,1,8107.0,0.0,2021
IIT-Patna,Civil Engineering,OBC-NCL,AI,Female-Only,1,7807.0,0.0,2021
IIT-Dharwad,Engineering Physics,OBC-NCL,AI,Gender-Neutral,1,4848.0,0.0,2021
IIT-Bhubaneswar,Electrical Engineering,GEN,AI,Gender-Neutral,1,5230.0,0.0,2021
IIT-Delhi,Mechanical Engineering,GEN,AI,Female-Only,2,4577.0,0.0,2021
IIT-Kanpur,Chemistry,GEN,AI,Gender-Neutral,2,8669.0,0.0,2021
NIT-Hamirpur,Architecture,OBC-NCL,OS,Gender-Neutral,1,441.0,0.0,2021
NIT-Karnataka-Surathkal,Mechanical Engineering,OBC-NCL,HS,Female-Only,1,13423.0,0.0,2021
NIT-Patna,Mechanical Engineering,GEN,HS,Gender-Neutral,1,31148.0,0.0,2021
IIT-Madras,Aerospace Engineering,GEN,AI,Gender-Neutral,7,3286.6666666666665,377.04199589258843,2019
NIT-Karnataka-Surathkal,Mining Engineering,GEN,HS,Gender-Neutral,7,38716.0,0.0,2019
NIT-Raipur,Metallurgical and Materials Engineering,GEN,OS,Gender-Neutral,7,39603.0,0.0,2019
NIT-Jamshedpur,Electronics and Communication Engineering,GEN,HS,Female-Only,7,28141.0,0.0,2019
NIT-Tiruchirappalli,Electrical and Electronics Engineering,GEN,OS,Gender-Neutral,7,5243.0,0.0,2019
IIT-Bombay,Engineering Physics,GEN-EWS,AI,Gender-Neutral,1,553.0,0.0,2021
IIT-Bombay,Engineering Physics,GEN-EWS,AI,Female-Only,1,1357.0,0.0,2021
IIT-(BHU) Varanasi,Materials Science and Technology,GEN-EWS,AI,Gender-Neutral,1,1868.0,0.0,2021
IIT-Kharagpur,Architecture,GEN-EWS,AI,Female-Only,2,4631.0,0.0,2021
IIT-Kharagpur,Biotechnology and Biochemical Engineering,GEN-EWS,AI,Gender-Neutral,2,1347.0,167.1145497174699,2021
IIT-Kharagpur,Instrumentation Engineering,GEN-EWS,AI,Gender-Neutral,2,416.0,0.0,2021
IIT-Bombay,Engineering Physics,GEN,AI,Gender-Neutral,1,1210.0,0.0,2021
IIT-Madras,Aerospace Engineering,GEN,AI,Gender-Neutral,2,3415.0,188.0038684321537,2021
NIT-Agartala,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,1,23888.0,0.0,2021
NIT-Patna,Electronics and Communication Engineering,GEN,HS,Female-Only,1,28609.0,0.0,2021
NIT-Kurukshetra,Civil Engineering,GEN,OS,Female-Only,1,34115.0,0.0,2021
NIT-Manipur,Computer Science and Engineering,GEN,HS,Gender-Neutral,1,255995.0,0.0,2021
IIT-Delhi,Mathematics and Computing,SC,AI,Female-Only,2,589.5,55.87892756177901,2021
IIT-Roorkee,Engineering Physics,SC,AI,Gender-Neutral,2,1431.0,0.0,2021
IIT-Delhi,Chemical Engineering,GEN,AI,Gender-Neutral,7,2346.2,675.6664857753417,2019
IIT-Guwahati,Mathematics and Computing,GEN,AI,Gender-Neutral,7,1110.3333333333333,86.81781691181445,2019
IIT-Patna,Computer Science and Engineering,GEN,AI,Female-Only,7,5271.5,905.8037866999674,2019
NIT-Jalandhar,Electronics and Communication Engineering,GEN,HS,Female-Only,7,31645.0,0.0,2019
NIT-Jalandhar,Information Technology,GEN,HS,Female-Only,7,22750.0,0.0,2019
NIT-Bhopal,Chemical Engineering,GEN,OS,Female-Only,7,32960.0,0.0,2019
NIT-Puducherry,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,7,19231.0,0.0,2019
NIT-Puducherry,Electrical and Electronics Engineering,GEN,HS,Female-Only,7,196448.0,0.0,2019
NIT-Raipur,Electrical Engineering,GEN,OS,Female-Only,7,23717.0,0.0,2019
NIT-Silchar,Electronics and Instrumentation Engineering,GEN,OS,Gender-Neutral,7,27483.0,0.0,2019
NIT-Uttarakhand,Civil Engineering,GEN,HS,Gender-Neutral,7,45835.0,0.0,2019
IIT-Ropar,Civil Engineering,SC,AI,Female-Only,1,2784.0,0.0,2021
IIT-Delhi,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,1,303.0,0.0,2021
IIT-Kharagpur,Computer Science and Engineering,GEN-EWS,AI,Female-Only,1,401.0,0.0,2021
IIT-Hyderabad,Civil Engineering,GEN-EWS,AI,Gender-Neutral,1,1131.0,0.0,2021
IIT-Kanpur,Statistics and Data Science,OBC-NCL,AI,Gender-Neutral,1,763.0,0.0,2021
IIT-Patna,Electrical and Electronics Engineering,OBC-NCL,AI,Gender-Neutral,1,2380.0,0.0,2021
IIT-Jammu,Mechanical Engineering,OBC-NCL,AI,Gender-Neutral,1,4459.0,0.0,2021
IIT-(ISM) Dhanbad,Mathematics and Computing,OBC-NCL,AI,Female-Only,1,5029.0,0.0,2021
IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,OBC-NCL,AI,Female-Only,2,6231.0,0.0,2021
IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,GEN,AI,Gender-Neutral,2,1609.0,0.0,2021
IIT-Madras,Electrical Engineering,GEN,AI,Female-Only,2,2199.0,0.0,2021
NIT-Allahabad,Electrical Engineering,GEN,HS,Female-Only,1,17899.0,0.0,2021
IIT-Patna,Mechanical Engineering,SC,AI,Gender-Neutral,1,1945.0,0.0,2021
IIT-Bombay,Civil Engineering,GEN,AI,Gender-Neutral,7,2619.0,354.50105782634836,2019
NIT-Jalandhar,Computer Science and Engineering,GEN,HS,Gender-Neutral,7,10800.0,0.0,2019
NIT-Nagaland,Mechanical Engineering,GEN,OS,Gender-Neutral,7,38476.0,0.0,2019
NIT-Srinagar,Civil Engineering,GEN,HS,Female-Only,7,92390.0,0.0,2019
IIT-Kanpur,Chemical Engineering,GEN-EWS,AI,Female-Only,1,1937.0,0.0,2021
IIT-Guwahati,Mechanical Engineering,GEN-EWS,AI,Female-Only,1,2180.0,0.0,2021
IIT-(ISM) Dhanbad,Applied Geophysics,GEN-EWS,AI,Gender-Neutral,1,2012.0,0.0,2021
IIT-Delhi,Electrical Engineering - Power and Automation,GEN-EWS,AI,Gender-Neutral,2,182.0,0.0,2021
IIT-Kharagpur,Industrial and Systems Engineering,GEN-EWS,AI,Gender-Neutral,2,634.0,0.0,2021
IIT-Roorkee,Metallurgical and Materials Engineering,GEN-EWS,AI,Gender-Neutral,2,1215.0,0.0,2021
IIT-Kharagpur,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,2,229.5,71.54591659779182,2021
IIT-Kharagpur,Agricultural and Food Engineering with M.Tech. in any of the listed specializations,GEN,AI,Gender-Neutral,1,8863.0,0.0,2021
IIT-Kanpur,Earth Sciences,GEN,AI,Gender-Neutral,1,9197.0,0.0,2021
IIT-Guwahati,Biosciences and Bioengineering,GEN,AI,Gender-Neutral,1,8042.0,0.0,2021
IIT-Hyderabad,Electrical Engineering,GEN,AI,Gender-Neutral,1,1986.0,0.0,2021
IIT-Roorkee,Chemical Engineering,GEN,AI,Gender-Neutral,2,4447.0,0.0,2021
NIT-Jalandhar,Electronics and Communication Engineering,OBC-NCL,HS,Gender-Neutral,1,21666.0,0.0,2021
NIT-Jaipur,Chemical Engineering,OBC-NCL,HS,Gender-Neutral,1,7610.0,0.0,2021
NIT-Calicut,Chemical Engineering,OBC-NCL,OS,Gender-Neutral,1,7407.0,0.0,2021
NIT-Rourkela,Ceramic Engineering and M.Tech Industrial Ceramic,OBC-NCL,OS,Gender-Neutral,1,11436.0,0.0,2021
NIT-Nagaland,Electrical and Electronics Engineering,GEN,OS,Gender-Neutral,1,39095.0,0.0,2021
NIT-Arunachal-Pradesh,Computer Science and Engineering,GEN,OS,Female-Only,1,31953.0,0.0,2021
IIT-Delhi,Production and Industrial Engineering,SC,AI,Gender-Neutral,1,1149.0,0.0,2021
IIT-Kharagpur,Electrical Engineering,SC,AI,Female-Only,1,1035.0,0.0,2021
IIT-Roorkee,Chemical Engineering,SC,AI,Female-Only,2,2258.0,0.0,2021
IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,GEN,AI,Female-Only,7,11672.5,1861.8121548641795,2019
IIT-Patna,Electrical and Electronics Engineering,GEN,AI,Female-Only,7,11371.0,0.0,2019
NIT-Agartala,Production Engineering,GEN,OS,Female-Only,7,53412.0,0.0,2019
NIT-Agartala,Physics,GEN,HS,Gender-Neutral,7,360492.0,0.0,2019
